link,filetipe,basename,class
extracted_images\cadar\cropped_class_0_1038.jpg,img,cropped_class_0_1038,cropped_class_0_1038.jpg
extracted_images\cadar\cropped_class_0_1060.jpg,img,cropped_class_0_1060,cropped_class_0_1060.jpg
extracted_images\cadar\cropped_class_0_1108.jpg,img,cropped_class_0_1108,cropped_class_0_1108.jpg
extracted_images\cadar\cropped_class_0_1181.jpg,img,cropped_class_0_1181,cropped_class_0_1181.jpg
extracted_images\cadar\cropped_class_0_1217.jpg,img,cropped_class_0_1217,cropped_class_0_1217.jpg
extracted_images\cadar\cropped_class_0_1249.jpg,img,cropped_class_0_1249,cropped_class_0_1249.jpg
extracted_images\cadar\cropped_class_0_1271.jpg,img,cropped_class_0_1271,cropped_class_0_1271.jpg
extracted_images\cadar\cropped_class_0_1308.jpg,img,cropped_class_0_1308,cropped_class_0_1308.jpg
extracted_images\cadar\cropped_class_0_1318.jpg,img,cropped_class_0_1318,cropped_class_0_1318.jpg
extracted_images\cadar\cropped_class_0_1346.jpg,img,cropped_class_0_1346,cropped_class_0_1346.jpg
extracted_images\cadar\cropped_class_0_1450.jpg,img,cropped_class_0_1450,cropped_class_0_1450.jpg
extracted_images\cadar\cropped_class_0_1615.jpg,img,cropped_class_0_1615,cropped_class_0_1615.jpg
extracted_images\cadar\cropped_class_0_1709.jpg,img,cropped_class_0_1709,cropped_class_0_1709.jpg
extracted_images\cadar\cropped_class_0_1716.jpg,img,cropped_class_0_1716,cropped_class_0_1716.jpg
extracted_images\cadar\cropped_class_0_1734.jpg,img,cropped_class_0_1734,cropped_class_0_1734.jpg
extracted_images\cadar\cropped_class_0_1742.jpg,img,cropped_class_0_1742,cropped_class_0_1742.jpg
extracted_images\cadar\cropped_class_0_1761.jpg,img,cropped_class_0_1761,cropped_class_0_1761.jpg
extracted_images\cadar\cropped_class_0_1784.jpg,img,cropped_class_0_1784,cropped_class_0_1784.jpg
extracted_images\cadar\cropped_class_0_1872.jpg,img,cropped_class_0_1872,cropped_class_0_1872.jpg
extracted_images\cadar\cropped_class_0_1875.jpg,img,cropped_class_0_1875,cropped_class_0_1875.jpg
extracted_images\cadar\cropped_class_0_19.jpg,img,cropped_class_0_19,cropped_class_0_19.jpg
extracted_images\cadar\cropped_class_0_1911.jpg,img,cropped_class_0_1911,cropped_class_0_1911.jpg
extracted_images\cadar\cropped_class_0_2017.jpg,img,cropped_class_0_2017,cropped_class_0_2017.jpg
extracted_images\cadar\cropped_class_0_2101.jpg,img,cropped_class_0_2101,cropped_class_0_2101.jpg
extracted_images\cadar\cropped_class_0_2137.jpg,img,cropped_class_0_2137,cropped_class_0_2137.jpg
extracted_images\cadar\cropped_class_0_2328.jpg,img,cropped_class_0_2328,cropped_class_0_2328.jpg
extracted_images\cadar\cropped_class_0_2341.jpg,img,cropped_class_0_2341,cropped_class_0_2341.jpg
extracted_images\cadar\cropped_class_0_2345.jpg,img,cropped_class_0_2345,cropped_class_0_2345.jpg
extracted_images\cadar\cropped_class_0_2353.jpg,img,cropped_class_0_2353,cropped_class_0_2353.jpg
extracted_images\cadar\cropped_class_0_2395.jpg,img,cropped_class_0_2395,cropped_class_0_2395.jpg
extracted_images\cadar\cropped_class_0_2558.jpg,img,cropped_class_0_2558,cropped_class_0_2558.jpg
extracted_images\cadar\cropped_class_0_2611.jpg,img,cropped_class_0_2611,cropped_class_0_2611.jpg
extracted_images\cadar\cropped_class_0_2743.jpg,img,cropped_class_0_2743,cropped_class_0_2743.jpg
extracted_images\cadar\cropped_class_0_3003.jpg,img,cropped_class_0_3003,cropped_class_0_3003.jpg
extracted_images\cadar\cropped_class_0_3042.jpg,img,cropped_class_0_3042,cropped_class_0_3042.jpg
extracted_images\cadar\cropped_class_0_3085.jpg,img,cropped_class_0_3085,cropped_class_0_3085.jpg
extracted_images\cadar\cropped_class_0_3127.jpg,img,cropped_class_0_3127,cropped_class_0_3127.jpg
extracted_images\cadar\cropped_class_0_3182.jpg,img,cropped_class_0_3182,cropped_class_0_3182.jpg
extracted_images\cadar\cropped_class_0_3245.jpg,img,cropped_class_0_3245,cropped_class_0_3245.jpg
extracted_images\cadar\cropped_class_0_3261.jpg,img,cropped_class_0_3261,cropped_class_0_3261.jpg
extracted_images\cadar\cropped_class_0_3320.jpg,img,cropped_class_0_3320,cropped_class_0_3320.jpg
extracted_images\cadar\cropped_class_0_3407.jpg,img,cropped_class_0_3407,cropped_class_0_3407.jpg
extracted_images\cadar\cropped_class_0_3412.jpg,img,cropped_class_0_3412,cropped_class_0_3412.jpg
extracted_images\cadar\cropped_class_0_3485.jpg,img,cropped_class_0_3485,cropped_class_0_3485.jpg
extracted_images\cadar\cropped_class_0_3589.jpg,img,cropped_class_0_3589,cropped_class_0_3589.jpg
extracted_images\cadar\cropped_class_0_3611.jpg,img,cropped_class_0_3611,cropped_class_0_3611.jpg
extracted_images\cadar\cropped_class_0_3612.jpg,img,cropped_class_0_3612,cropped_class_0_3612.jpg
extracted_images\cadar\cropped_class_0_3652.jpg,img,cropped_class_0_3652,cropped_class_0_3652.jpg
extracted_images\cadar\cropped_class_0_3713.jpg,img,cropped_class_0_3713,cropped_class_0_3713.jpg
extracted_images\cadar\cropped_class_0_3716.jpg,img,cropped_class_0_3716,cropped_class_0_3716.jpg
extracted_images\cadar\cropped_class_0_3725.jpg,img,cropped_class_0_3725,cropped_class_0_3725.jpg
extracted_images\cadar\cropped_class_0_3770.jpg,img,cropped_class_0_3770,cropped_class_0_3770.jpg
extracted_images\cadar\cropped_class_0_3839.jpg,img,cropped_class_0_3839,cropped_class_0_3839.jpg
extracted_images\cadar\cropped_class_0_3906.jpg,img,cropped_class_0_3906,cropped_class_0_3906.jpg
extracted_images\cadar\cropped_class_0_3952.jpg,img,cropped_class_0_3952,cropped_class_0_3952.jpg
extracted_images\cadar\cropped_class_0_3973.jpg,img,cropped_class_0_3973,cropped_class_0_3973.jpg
extracted_images\cadar\cropped_class_0_4007.jpg,img,cropped_class_0_4007,cropped_class_0_4007.jpg
extracted_images\cadar\cropped_class_0_4014.jpg,img,cropped_class_0_4014,cropped_class_0_4014.jpg
extracted_images\cadar\cropped_class_0_4093.jpg,img,cropped_class_0_4093,cropped_class_0_4093.jpg
